title,soldPrice,soldDate,bids,link
Raspberry Pi 4  4GB  includes aluminium case and micro HDMI adaptor cable,72.0,21 Aug 2022,9 bids,https://www.ebay.co.uk/itm/155118631585?epid=27053252260&hash=item241dca7aa1%3Ag%3AnfQAAOSwjadi-kGA&amdata=enc%3AAQAHAAAAoMgPKIScZE28NWGnlPCzc6903yt3ZBMb49aVIBYgCYByemYUMWKvIGT%2Fhf1NuKP6n98shmxbGuH%2F9oWWm%2FEs6QVN607tFKlxe7%2F5h9immk%2FIwaMnkpDs%2FgL6vSVNauRGHs6lkliHWeGkJr8mkvGIVAEkIYNPfkKmetloeBrIzVhWQolfS0zuSAaT4iGHrKa6ndec%2B3yUOcHSjACHGMnkK%2FI%3D%7Ctkp%3ABk9SR67ap6PdYA&LH_Auction=1
Raspberry pi 4 B 2gb with psu unused boxed see pics  ,52.0,20 Aug 2022,10 bids,https://www.ebay.co.uk/itm/255678875940?hash=item3b87a60924%3Ag%3AsBcAAOSwrkdi-r9s&amdata=enc%3AAQAHAAAAoNab9igfMMnviO%2FSymfTFHyubXc%2FsgqTk9UN%2Bx0WYNWxxq0U8d6JbFxBDlL7ADMrQDpnyQXtmwgOpzOGipcxc%2FGnq%2BII0VA%2FmvuwNcQCc3C4JZGkm0kZ0RsEyD97oOKRY2WyJwUZYg%2BMiNjaPeiaeZI9c1nI94pmEnVRd0fFj6rv%2BS0VJAjOhdSAMdhbBPmUNHI5zcF3j0mXOLWbY3cafsw%3D%7Ctkp%3ABk9SR67ap6PdYA&LH_Auction=1
Raspberry Pi 4 Model B 4GB Motherboard (RP-4B-4GB) Argon One Case 120GB M.2 SSD,107.99,19 Aug 2022,10 bids,https://www.ebay.co.uk/itm/265830644883?epid=27053252260&hash=item3de4bdbc93%3Ag%3A73AAAOSwwMdi-TnO&amdata=enc%3AAQAHAAAAoC8ig3k7LmC63JDgQR5mv0UsgGIsOvYDcIE1gH8%2B%2FhLcUvQf31oD%2FhMrw%2BgpB5zYBkYsrm3FEV1hfBgQgaPUm0zC9jrCrRJcyGr0IIlruxamQV28F9rnIo4yDUKQT0cnuJ%2BpSaqBQRrFevwy4yko58TYyTGPLAc8Q%2FmUNYPUyJyZ%2BtQ5Wv8gMNYSvwqoq1OxRiwq1tOWLQP3TsGWdsCREiM%3D%7Ctkp%3ABk9SR67ap6PdYA&LH_Auction=1
"Raspberry Pi 4 Model B 4GB Motherboard (RP-4B-4GB) With case, PSU and 8 Gb card",74.0,19 Aug 2022,8 bids,https://www.ebay.co.uk/itm/185535708177?epid=27053252260&hash=item2b32ca3c11%3Ag%3AXDQAAOSwJzti9m%7EM&amdata=enc%3AAQAHAAAAoJKirREFY1M8%2BHNq6ZJaqHWOa%2FCnZP6PzDaZzvvt4MEbbG6GPBFioZz0YqHB49xnAiDks2e2MrC0BoPt6tQECKmY9qSoNguSJoFxGhSdha7l3oVn6YZUUFb%2FbiK93IgpMKqHD6l%2FnblWEwzfJQ%2Fat9puCscwPN1MuS8NhJ4CmvwjXIB%2FdSjnCCie6rOVOIL%2FtHeT4WtAs04h4kIh3q5D3vE%3D%7Ctkp%3ABk9SR67ap6PdYA&LH_Auction=1
Raspberry Pi 4 Model B 4GB Motherboard (RP-4B-4GB),76.0,17 Aug 2022,9 bids,https://www.ebay.co.uk/itm/155113542894?epid=27053252260&hash=item241d7cd4ee%3Ag%3Anb4AAOSweZRi8%7ENf&amdata=enc%3AAQAHAAAAoDe40S042e2ETzMvUGMk4nJjYob214eE11fIyqQ7Ixo%2Bq7s6iLQSxKqReTfDZChQK7vJtHN0yyRC2ovvtqj%2BjCtY5IyDWhVf1liP%2FnDodohgoR684qqPOFDYEp1dI3%2FtwGyY6Ku6MawBANZgPAMC9Wj%2FU5GubaDmKqylNSPIuCONFuqzJEyCPcAmvhCptiFunN4u%2FfhqByjpQuXjzvv0jQU%3D%7Ctkp%3ABk9SR67ap6PdYA&LH_Auction=1
"Raspberry Pi 4 Model B 4GB Bundle. (RP-4B-4GB). Case, Fan, 32gb SD, HDMI Cable",73.42,17 Aug 2022,8 bids,https://www.ebay.co.uk/itm/204065521726?epid=27053252260&hash=item2f8340c03e%3Ag%3ARgQAAOSwaz1i87IE&amdata=enc%3AAQAHAAAAoDs1RkaHOXhj9jDtmcMbDfhxtS9qnD9z%2BiYZ2npstrZMZON0wHwCAXoBiXOugYUjzYoK6AuTiL7b7Oy7l3BILJ%2BEEYBJnSpd8XTgXQzrjMdbbK6I2Yp%2FBVhRJtXirIn7HxftJS1wQFH8gTk%2Fe89g4Lz0fkkk7OBuP6IN7ty5E8Gch%2BRUyS0gZluJ%2BjZ0aRr0raZ7FqUNEm43629AglxUKZE%3D%7Ctkp%3ABk9SR7Dap6PdYA&LH_Auction=1
Raspberry Pi 4B 8GB RAM with Official PSU,96.99,16 Aug 2022,15 bids,https://www.ebay.co.uk/itm/225120033342?epid=16039083418&hash=item346a331a3e%3Ag%3AE0YAAOSwud9i-pwY&amdata=enc%3AAQAHAAAAoNw3fGkFC6z98GGLhSQMOlVsjm6Jb37i1AksboQc8O7u11lILPMXofNHHXhqFofRV8pnny3JcVky9Nl3W2kC27ckzUHx9x6USjMqNEifLMG8yt6rLEg%2Bdle2xfitCCXgy5vo8AC2SKMtzHwlkaEn5mjHBaCa%2FaH1RqWoPJ5Tq1kf3sTVx3YSIwWFk326m5OHuw57cIrigv38OxbamHhq2qk%3D%7Ctkp%3ABk9SR7Dap6PdYA&LH_Auction=1
Raspberry Pi 4B 8GB + 64GB MicroSD + FLIRC Case + Extras,156.0,14 Aug 2022,23 bids,https://www.ebay.co.uk/itm/255666037109?epid=16039083418&hash=item3b86e22175%3Ag%3Ade0AAOSwb45i8ANF&amdata=enc%3AAQAHAAAAoDpVr2O658N1IgGI3zy8do3MnJVNcndpSpz9bkNdtTNrcb6AkBgBLXqu7Tfzs7d9uJmzewODGJpK7GpehUCGzH%2BmExQUzT5kGOIOw6u2sz3TWTeynmXB1pSO2NIWYjZn%2BumzMqPZYr7CuSS%2Fwr2Ldg7thTx%2BRnH1%2BO47xsTbUIAnsTyDOF%2Fek0hNPSt7VuVcPrKMIk6383CewoBI2d%2B3ldI%3D%7Ctkp%3ABk9SR7Dap6PdYA&LH_Auction=1
Raspberry Pi 4 Model B 4GB Motherboard (RP-4B-4GB),85.2,13 Aug 2022,5 bids,https://www.ebay.co.uk/itm/275414253372?epid=27053252260&hash=item401ff7ff3c%3Ag%3AVJQAAOSw7Mxi7rpO&amdata=enc%3AAQAHAAAAoFiMFVfiW9M3RDtsDtlXgfVWVafrQ%2Bo7BL8hsn8O%2BRE2%2BtcCt%2B7yHkUkLyoICoeVxfKvBNs3%2B1infnDxBoMZ2Z6C%2F11YCTQ713F%2F4a%2FmsX5lCjo8t3dZudzwd0gmj9Nd5F5PDdJZvZCPyYCltlyVmAiQ8P86pigkGMHiPs%2BfoFUl0fiB9TtFlqLmY3d%2F%2Fq%2Fg%2FgQwDqpIedoH%2Bdg43h1wWDg%3D%7Ctkp%3ABk9SR7Dap6PdYA&LH_Auction=1
Raspberry Pi RP-4B-2GB 4B 2GB 4 x 1.5GHz Computer System,65.0,12 Aug 2022,1 bid,https://www.ebay.co.uk/itm/314100420215?hash=item4921d80e77%3Ag%3AyeYAAOSwzZxi77ui&amdata=enc%3AAQAHAAAAoFV%2BgKLAopHSkvBnZwkCZ7%2BMOlHhmp6DkrM8u%2FdXh4iEsqDA8Ds86f7UbXTNBSq5Z9q1IUCIWAi6oxMX%2F%2F44qtcJoZObNyPDhiain%2FYYIl415NTw0yOYZpDIalBQv%2B%2B61A8Fq8uiCxRMfpuOa2tUWxNQNkVC4NZGH%2BB2tb44GNdYGnCQawDvHa0MgU1EvQyrQdmfN0EYrANCMeQegpjQ5R4%3D%7Ctkp%3ABk9SR7Dap6PdYA&LH_Auction=1
