title,soldPrice,soldDate,bids,link
Raspberry Pi 4 Model B 4GB Motherboard (RP-4B-4GB) Inc genuine power adapter,68.0,21 Aug 2022,14 bids,https://www.ebay.co.uk/itm/204064888556?epid=27053252260&hash=item2f833716ec%3Ag%3AfYEAAOSwuKVi8o-b&amdata=enc%3AAQAHAAAAoCrUzVq20R5yZsZvLr88RGMMcWNXYUoj7FI18geOSlIObRIitXixn7XUiqRr8gdVuB%2FcpFDlUNupyHELYyU1jevC3wZ9dqi%2FYCMgONPKODzeyWRGh9Qkehoxkup04Q1Z9BJlgllT6tTOFDq8V6SYtiQZYkW7lDAFbMRLtd%2Fj1eMuzekcDl2yqDdOHK8DaDgtz7oNOdnowLRbcfv5hGEKhgU%3D%7Ctkp%3ABk9SR_6hi4zeYA&LH_Auction=1
Raspberry Pi 4  4GB  includes aluminium case and micro HDMI adaptor cable,72.0,21 Aug 2022,9 bids,https://www.ebay.co.uk/itm/155118631585?epid=27053252260&hash=item241dca7aa1%3Ag%3AnfQAAOSwjadi-kGA&amdata=enc%3AAQAHAAAAoMgPKIScZE28NWGnlPCzc6903yt3ZBMb49aVIBYgCYBy%2FssFrqQhuI4%2BH3iXHl4%2FH%2BX5wbGqoAfsVm%2FfVKkV7F78Olc8q8DLgkY7P2ZEacpQtKeEtVNpK67SuiV%2FrYIe4gV5seXVv3cBwZkSsH0pfxayKAsZ%2BGVMdyHMs5cSyntPpGZ6T37OV0PALWy08Q0cIklMnsckXRve7cCooA8zxps%3D%7Ctkp%3ABk9SR_6hi4zeYA&LH_Auction=1
Raspberry pi 4 B 2gb with psu unused boxed see pics  ,52.0,20 Aug 2022,10 bids,https://www.ebay.co.uk/itm/255678875940?hash=item3b87a60924%3Ag%3AsBcAAOSwrkdi-r9s&amdata=enc%3AAQAHAAAAoNab9igfMMnviO%2FSymfTFHyubXc%2FsgqTk9UN%2Bx0WYNWxAq4wyUrwoM92b0HssLC6dK%2B8oIx3MH3Hah1%2Fg65Ds5yUFyzJ%2FI1GY%2BAI9vi%2FfLo%2BQJhLg40p8RTy5abftVCkN2iU7%2BW5NG5dZheqDzMd2Dx4fA1g%2B9NPRWjdrGxScmc109A7NH1gWn0JyV1%2B1Hk4TTjp2OAGX2gBpYgch7gdLuo%3D%7Ctkp%3ABk9SR_6hi4zeYA&LH_Auction=1
Raspberry Pi 4 Model B 4GB Motherboard (RP-4B-4GB) Argon One Case 120GB M.2 SSD,107.99,19 Aug 2022,10 bids,https://www.ebay.co.uk/itm/265830644883?epid=27053252260&hash=item3de4bdbc93%3Ag%3A73AAAOSwwMdi-TnO&amdata=enc%3AAQAHAAAAoC8ig3k7LmC63JDgQR5mv0UsgGIsOvYDcIE1gH8%2B%2FhLcdqWr0r%2FTYe9L0o%2FOc7AkDxVTCbSWQL8F1P%2BXytwqcuyiuxwyOc3%2FgHbfWB2vvI%2FUhQ%2BGydVV2n2eee4ujwll48JtkLLXODWrIs3OBkMGd2U%2F47KiN1RbssP4AvRuojVgOcIBM7cr%2BiOIepBc0%2FU8GTJgnfxLZtCdieTyqoel%2FRM%3D%7Ctkp%3ABk9SR_6hi4zeYA&LH_Auction=1
"Raspberry Pi 4 Model B 4GB Motherboard (RP-4B-4GB) With case, PSU and 8 Gb card",74.0,19 Aug 2022,8 bids,https://www.ebay.co.uk/itm/185535708177?epid=27053252260&hash=item2b32ca3c11%3Ag%3AXDQAAOSwJzti9m%7EM&amdata=enc%3AAQAHAAAAoJKirREFY1M8%2BHNq6ZJaqHWOa%2FCnZP6PzDaZzvvt4MEb8PnfBZkTMZCH7zenD%2B%2FiJ8x4retfgzhBgKxs0xdAzrWCwRHMS1Ez9ZbORB40Xcql8Ieq9eoawcQXQ3d0OPs2o0fVQV9u7jc3m0HaMycOCV5%2BMT4emT2QBr4PLER8EJU87gYJ%2FhMW8VdU4T8Iua3CTMteLOmk7jfRKzh%2Fd26Kzkk%3D%7Ctkp%3ABk9SR4Cii4zeYA&LH_Auction=1
Raspberry Pi 4 Model B 4GB Motherboard (RP-4B-4GB),76.0,17 Aug 2022,9 bids,https://www.ebay.co.uk/itm/155113542894?epid=27053252260&hash=item241d7cd4ee%3Ag%3Anb4AAOSweZRi8%7ENf&amdata=enc%3AAQAHAAAAoDe40S042e2ETzMvUGMk4nJjYob214eE11fIyqQ7Ixo%2BsV2VmWTLO0km%2F3Kh9IHgMWuZ4HysXibHvB9%2FctvdLQ%2FWin%2FF1FY8RCeGr8eeiYEGIgL6pnBwq7%2FMfPlxHluU4lHre73scXosnxvuomR3tcK9YA7RyFhCw3m5WEZzevSdXb8ZQ2srH5t6HT5k5UUNxaJGNbrWbcsZYDX73%2BPHxew%3D%7Ctkp%3ABk9SR4Cii4zeYA&LH_Auction=1
"Raspberry Pi 4 Model B 4GB Bundle. (RP-4B-4GB). Case, Fan, 32gb SD, HDMI Cable",73.42,17 Aug 2022,8 bids,https://www.ebay.co.uk/itm/204065521726?epid=27053252260&hash=item2f8340c03e%3Ag%3ARgQAAOSwaz1i87IE&amdata=enc%3AAQAHAAAAoDs1RkaHOXhj9jDtmcMbDfhxtS9qnD9z%2BiYZ2npstrZMpqxXsoqZkgP3pTroxTHJbQSJ%2FKdFJ6Bnt1h3wucRgNYXnSxd%2BthTnBWd5sgDtIgZM2ojymDifgM704QYJN26KJfeofzfYN%2BQ9uRN%2FBsaHO89RrMPBRQ4yxWQ7LylZy4WwHzYHAC%2BfH5e8kBSTk6RRD0kQoKMeyOp5%2FVqMiWyJI0%3D%7Ctkp%3ABk9SR4Cii4zeYA&LH_Auction=1
Raspberry Pi 4B 8GB RAM with Official PSU,96.99,16 Aug 2022,15 bids,https://www.ebay.co.uk/itm/225120033342?epid=16039083418&hash=item346a331a3e%3Ag%3AE0YAAOSwud9i-pwY&amdata=enc%3AAQAHAAAAoNw3fGkFC6z98GGLhSQMOlVsjm6Jb37i1AksboQc8O7uM4brDtBoEPRFZGy8QhZeyb53GtMGEiTCxRHzuFReVTweKAo%2FONQQQxuOacX7kB8J%2F0cUdwM%2FMT14vZd2vI7zJ4LtjgsNn2MwbzrFlmfjN7BKBHJOcW1Ife7KUpQk2V6sh4fifKjNhnPbCKmLxOcBmml4nzT8iKCWzpihnv34g3A%3D%7Ctkp%3ABk9SR4Cii4zeYA&LH_Auction=1
Raspberry Pi 4B 8GB + 64GB MicroSD + FLIRC Case + Extras,156.0,14 Aug 2022,23 bids,https://www.ebay.co.uk/itm/255666037109?epid=16039083418&hash=item3b86e22175%3Ag%3Ade0AAOSwb45i8ANF&amdata=enc%3AAQAHAAAAoDpVr2O658N1IgGI3zy8do3MnJVNcndpSpz9bkNdtTNr9rXrMono2%2BkQSLtRaiIvoA4YBYiMSC0IFycm0XbiiH%2Bk3U3pPrWkxPdGeGcBnj5tgpCfPjUswNUwSPACr0hVmvXp6LBc%2ByKoNLhsgiWSLPIBmVoNfYSq2wzNrCJgkKvlgkbFd92r0mXBK4bKdA%2FedNgt%2BJLtXf5cLItFURtRmss%3D%7Ctkp%3ABk9SR4Cii4zeYA&LH_Auction=1
Raspberry Pi 4 Model B 4GB Motherboard (RP-4B-4GB),85.2,13 Aug 2022,5 bids,https://www.ebay.co.uk/itm/275414253372?epid=27053252260&hash=item401ff7ff3c%3Ag%3AVJQAAOSw7Mxi7rpO&amdata=enc%3AAQAHAAAAoFiMFVfiW9M3RDtsDtlXgfVWVafrQ%2Bo7BL8hsn8O%2BRE2NRbdEZitJU0PvFw05TrVnVpXDqhowvyiZkyvYvCyuP3fsu9PcwtRrIsm6tgEgfh0vZQ%2FPviMyY5AEIsxTtI3UxrWuT99Q53N2iF8C3h2UR7mDHFV6kgPBC12uwABNKpv%2B2AjedA%2Bls%2Bbf06yq%2BiWva1ltW8gzzhXitrV3yWQEOw%3D%7Ctkp%3ABk9SR4Cii4zeYA&LH_Auction=1
Raspberry Pi RP-4B-2GB 4B 2GB 4 x 1.5GHz Computer System,65.0,12 Aug 2022,1 bid,https://www.ebay.co.uk/itm/314100420215?hash=item4921d80e77%3Ag%3AyeYAAOSwzZxi77ui&amdata=enc%3AAQAHAAAAoFV%2BgKLAopHSkvBnZwkCZ7%2BMOlHhmp6DkrM8u%2FdXh4iEARHd%2B%2BSAqoKlNLdi6vRK2oIKNQEKOKJEvhc9C4Dd9KJrkWgeIPFHtpjBTJw8Acwqcy6h6cu0nPVreKDfFAsEoAuo9lFuuRpn4%2BPa7hnswAcZsbNgXKrksn1ZL1jgXHxdCSPaehg%2B2mZb9iCw3SAZpR1lsAR2%2BPMM2ys7V2ZsMw0%3D%7Ctkp%3ABk9SR4Cii4zeYA&LH_Auction=1
Raspberry Pi 4 Model B 4GB Motherboard (RP-4B-4GB),43.65,11 Aug 2022,27 bids,https://www.ebay.co.uk/itm/275411667522?epid=27053252260&hash=item401fd08a42%3Ag%3AyVkAAOSw-api7BVn&amdata=enc%3AAQAHAAAAoBZfK5rGLxRrjI7xtfQOo3W9RLWhA5ImV7yDp8D36DXtSadpeqycKG2r1ULZa95T2ezLfUN%2B6BvcDHx0aJ3bIc2wx49mxO2sww1asaslzN0omu5qVfv95Y%2BtgmN0bJiYbzF5Qj8zEZYyHy7rXidy2BHH3b8TqncImT5UWarJt%2FZYSb%2BbGQH%2FMbYbrxHnV2Rnmv3Z5CLOmd0nqoCzdbWHujk%3D%7Ctkp%3ABk9SR4Cii4zeYA&LH_Auction=1
Raspberry Pi 4B 4GB | Argon NEO Case | Official PSU | HDMI | 16GB SD,102.0,9 Aug 2022,22 bids,https://www.ebay.co.uk/itm/334520840592?epid=27053252260&hash=item4de2fef190%3Ag%3ALpEAAOSwSKhi6Ttw&amdata=enc%3AAQAHAAAAoFZdBeW6c7L%2F2g%2FdPxmSDjag5R6dGsMHHhwU%2BCe1bQRr7YZqND0qvjfixnsYDOm4UXQ3y%2BO8eKCy3RVRXEqsT5SmTY4J9jkVT%2FISlWnR%2BGukXQ4fUcoR6IDqn2QDo1Hs0E%2BlesZOSjDk9sxI5UK45umcVFYRMvAUWEmD%2BEM5uCkkKiBGqoGqNtvMYiIHUtfAN5k2IWhYyNdoRHOqw7JpDWs%3D%7Ctkp%3ABk9SR4Cii4zeYA&LH_Auction=1
*FAULTY* Raspberry Pi 4 Model B 4GB,33.27,9 Aug 2022,10 bids,https://www.ebay.co.uk/itm/225101123322?epid=27053252260&hash=item3469128efa%3Ag%3AVbYAAOSwEMhi6Wfb&amdata=enc%3AAQAHAAAAoJ21GV4HvPXf8Teu%2FZDSDxjd2Y%2FH2a6xLjlAYJeAZodIVq%2F1d0KT5cmZnzigsweXzUkgPrqZiJZTcBPRmE6w5Psz3nMA0QS6dXgu77GKw26ZqP0JO3s0Qjjv%2BvQ03w6EDYs7htv8tqI74T39incGtft4gJQWsbulE0XWwPm6wEn4HAkhTxFHX24JPlnCG4lXd29fiVi8KJwEZXuREhvjs5Y%3D%7Ctkp%3ABk9SR4Cii4zeYA&LH_Auction=1
Raspberry Pi 4 Model B 2GB Motherboard (RP-4B-2GB),56.0,8 Aug 2022,10 bids,https://www.ebay.co.uk/itm/284917907386?epid=27053252260&hash=item42566e3fba%3Ag%3AxhEAAOSwtphi6FM6&amdata=enc%3AAQAHAAAAoOdoTvv6cAcFccEsDmAousdW5vbNCLaLjfpshR6esQ%2FxMef2xu1A0yWY8UWUyESPj5Fk7ZaCROc8cf9BCwRxgZuJGWvOXJN%2BdvLG02IsErXgbtsfQiPFaQzK8V6pPUAGVeCKxaJuBmGQzhidU%2FH57%2BfY1QiY461Bd8JFGZEqz0oq7tcu0nYtFGEhRMNR2HMNsrE4aHkq11YGuZR8xvdj7Uk%3D%7Ctkp%3ABk9SR4Cii4zeYA&LH_Auction=1
Raspberry Pi 4 Model B 4GB Motherboard (RP-4B-4GB) with accessories,86.0,8 Aug 2022,12 bids,https://www.ebay.co.uk/itm/284917902761?epid=27053252260&hash=item42566e2da9%3Ag%3AQHsAAOSwCp5i6FJA&amdata=enc%3AAQAHAAAAoETgHPxcqWCbbWnzhJEuJJAUmYxaFag66PwXglH%2BnTUPBuIAyYY5JYmvoxT%2BPa3i16QYqvchCAflb7VbJX0CPKp242pa6m1Dr%2BUkuINTvpsgM1CvUOsgdmgi%2BRkXurtthf8lVlNst7xsXeu%2BfTNqQdVPYzpEDnu1gEcHSmLvOk%2Bo%2FtRx15hE0VyaWXwBKZwjKnBDouZK2P0lcqW0y2fH3XY%3D%7Ctkp%3ABk9SR4Cii4zeYA&LH_Auction=1
Raspberry Pi 4 Model B 4GB new never opened,64.0,7 Aug 2022,15 bids,https://www.ebay.co.uk/itm/295124235823?epid=27053252260&hash=item44b6c6762f%3Ag%3AugQAAOSwykpi5p%7Eu&amdata=enc%3AAQAHAAAAoEnNeRHcoBAIr8KgN5JB4uPgBkgadSCFJ810QX8ufpaafLGAk19Z3sw2Jzy3ftNROyFVZRaPlm%2B%2FH4k9V8dzlnSU6CNxjpU1fJA2t7UDfEkatIcnqCjRkuua1GzuyGNHyRKHg6WWjq02Po6MjOhJeZFvf3vBTrZldlYb0bNgFcAfJ2q4mqHEuq7Wiansf2Jtqxt%2FCvlEH5hqJlKz72Cwpno%3D%7Ctkp%3ABk9SR4Cii4zeYA&LH_Auction=1
