title,soldPrice,soldDate,bids,link
Samsung Galaxy S20 FE SM-G781U - 128GB - Cloud Navy (UNLOCKED),231.25,28 Aug 2022,13 bids,https://www.ebay.co.uk/itm/165647525739?hash=item26915ca76b%3Ag%3APGYAAOSwihZi0tBV&amdata=enc%3AAQAHAAAAoHRIDP06HJ5aG70%2BckhfgEWL6Q%2FdLzVhHq8mCHjWjK9hL4wfW%2BSGiYTpqT8aJKOC3BSeGK0XVcwkZLJBPwb6XAMkwQZ2b1oiPqL%2BO%2BHUMgNWsI%2FSPCl%2BzN6auHkyhj98SXlD8l8udQ3FTnz05TTuV5QW9nsDAgmvDhedjBPbC0tBuIYZUTlzAvpB6Xc4TE7VWHXkZdGvXorA7XXgbXxfpVQ%3D%7Ctkp%3ABk9SR7LA-aPdYA&LH_Auction=1
Samsung Galaxy S20 5G 128GB Grey Dual Sim Unlocked Grade A Smartphone,249.0,28 Aug 2022,1 bid,https://www.ebay.co.uk/itm/185555005687?epid=21036891496&hash=item2b33f0b0f7%3Ag%3A1agAAOSw5V5jATXC&amdata=enc%3AAQAHAAAAoIUl1JGTCmmLCP1KYex2oGOJWxdhwQcBgRO4SgtwbvgY174cPIOot05cY9mOmDvrKh0QSEt8IiF5EGamxvArkWaLXoXOSAYMaSl9Mh0zw%2FAVdQBbRgg6ZkuAh74oE%2BzPcbv0Lzi5BhHh5PV92JIkZiekpGho12C18HlvQ4HSrCTRn%2BDnsJNEeQeRqEEVN0dwG61VWm8IT%2FquxEZ%2B8nlJx5o%3D%7Ctkp%3ABk9SR7LA-aPdYA&LH_Auction=1
samsung galaxy s20 ultra 5g,325.0,28 Aug 2022,1 bid,https://www.ebay.co.uk/itm/185547299288?epid=21036891518&hash=item2b337b19d8%3Ag%3AXuYAAOSwDrNjApHA&amdata=enc%3AAQAHAAAAoJlqrtcvOF9vrFiz%2Bpjyxa6KNDgf1Q41z6w2pZfb%2B4JMUYHK8q2weoF%2FsbF7inJET7FKBwiUvez04WpCoYDZ2icA7lREoES3q0qtHlzM2ez4LjVg5mSLywx1hmZnr9B4o1k8s7%2FLuQcihp7IeF%2F9MdjGD1x4B6SEINScXptpSBBbNQMQydiknmBKJ1tiRXeDCF1Z76zW6bZyUVo2OI2NWqk%3D%7Ctkp%3ABk9SR7LA-aPdYA&LH_Auction=1
Samsung Galaxy S20+ 5G Spares Or Repair,45.05,28 Aug 2022,20 bids,https://www.ebay.co.uk/itm/284946257696?epid=27037435038&hash=item42581ed720%3Ag%3AtxsAAOSwaQFjCnu%7E&amdata=enc%3AAQAHAAAAoB0ab7uBYrV%2F4w1yDz92sTuonuZzlopcxyjH6Fvash%2BIanN%2FfJ7csoM2BIN5hUQIgyAi%2BptKneER%2BmWd%2Bx5r9cM%2B5PIqFzzn4%2FrI3g5vI%2Fn9mefmKPP7arPqSejBO4eCIzw1Em0xHaeSt4j8TMt9swwK%2BrVv6cv2qhLJ9bypKWfr5txKU1mzlcTOjvh88JPxK9otYuug9nPTmcTyok8CaSY%3D%7Ctkp%3ABk9SR7LA-aPdYA&LH_Auction=1
Samsung Galaxy S20 5G SM-G981B/DS - 128GB -  Cosmic Gray (Unlocked),272.0,28 Aug 2022,21 bids,https://www.ebay.co.uk/itm/325312765071?epid=28036891491&hash=item4bbe26dc8f%3Ag%3AY-cAAOSwip9jAgub&amdata=enc%3AAQAHAAAAoM9VLu6O9zlUZttgTqNdRFFKSIUP%2F3hzMbIHIBNZts2ilO6i76To%2BI2PXuiIYCKQgjOk0x926vEF8%2FO65OFxab92J5fqGQtmULiUgG8YpBqhO%2B9FtZR2TxZG%2B5x9fixTv00xrD2GegiLYouomobQSXSgrRo%2FSe%2Frlg0h4UizKdMO0%2FeFtnWoJts1D90JB9uRF02aTE%2BZIaqpQNqkPiMlP4w%3D%7Ctkp%3ABk9SR7LA-aPdYA&LH_Auction=1
Samsung Galaxy S20+ broken screen,90.0,28 Aug 2022,1 bid,https://www.ebay.co.uk/itm/144688984359?hash=item21b022b127%3Ag%3A8B8AAOSwf8Bi8Ab6&amdata=enc%3AAQAHAAAAoCaOQ6aqLhCdeyHybvdqs8Pq9vIH%2FOwnawuAD5%2FvEZ7u2r0F%2BRwRSJ3b9ZOuiwulsotXXdryTLoMSsIEU9a20XsNAg5JH5K6mPPTKhlNH9PtDgGNu0f4YhuzFS9IpHESMwH2NNQs%2FcsRCsCXJH%2F5YQjtTn9dU68mnDKwUUayJTtN77MFLGEmdt5jTAS%2FzrDpWTvZMZHduhIH3%2BuUooZdB6s%3D%7Ctkp%3ABk9SR7LA-aPdYA&LH_Auction=1
Samsung Galaxy S20 5G Immaculate Boxed SM-G981B/DS 128GB - Cloud Blue Unlocked,260.0,28 Aug 2022,14 bids,https://www.ebay.co.uk/itm/204067222295?epid=22036894144&hash=item2f835ab317%3Ag%3AzucAAOSwOLRi9p1U&amdata=enc%3AAQAHAAAAoNMgEVaDW60fBeY04vVmKlr68JoiXF7272yWRFgWG7VMhPkVuqDN3B9SQuANCzB8G3WI08GoR6hqJlzQiwChSHm9Gj8o%2FNCVVCOjFQhA4QYuMeYMkpmBpsHATcAUgP6iANeTQQr67TATd6uc92Izldg97SD0Ag9ywKqsf6fIC2MUhJQazlV%2BjG5DmfjiU7PXZjm3xeuO3oFLJXyAfUnNZgg%3D%7Ctkp%3ABk9SR7LA-aPdYA&LH_Auction=1
Samsung Galaxy S20 FE 5G SM-G781B/DS - 128GB - Cloud Navy (EE) ,226.16,28 Aug 2022,9 bids,https://www.ebay.co.uk/itm/325318011754?epid=24041211796&hash=item4bbe76eb6a%3Ag%3AmOYAAOSwDCxjB8km&amdata=enc%3AAQAHAAAAoE7NY3GFQiuPCn8VUehqNiAINEC7DCMks2FLfmyaBtmL1voJZmOwHlBjuJspbEXlVuD9l7GlwvX%2F6V3tDJpVMkpIMkAsHg6Elfrh7IctEYmfmQo749wxw2slS7Qdlhi%2FuOn%2BGiSMlSCJefQNz%2B5uEx9mh401%2B2z9vi1Qk%2FT4X88zNmS0ecHE5IwRnil3vBL4rwguun9t6ebYKHtdkcmYJdM%3D%7Ctkp%3ABk9SR7LA-aPdYA&LH_Auction=1
Samsung Galaxy S20 FE 5G SM-G781B/DS - 128GB - Cloud Lavender (Unlocked),155.0,28 Aug 2022,16 bids,https://www.ebay.co.uk/itm/304604982172?epid=8041205319&hash=item46ebdf2b9c%3Ag%3AO7kAAOSwiT5jAoLs&amdata=enc%3AAQAHAAAAoGbK4pFPHAi0rKCLNreVUGJm1YH2kAEEkortUUkzlksJtQ7c%2FlzOT9YhTkis7yDL%2F9TrWQFBb7J8BQxyj9owNYTO9WlBnuHkcwFFnjNfpHb3dWfhZOAgbQ64gCMW7RrgK9CkFhVknGbHueyoyfkyEFQQuuAs33GTwbsZaK%2FWUg%2BagrKmKlkRwG6m%2BA2WnWivNP95Eao8%2BhAgmVpauX1Kc3M%3D%7Ctkp%3ABk9SR7LA-aPdYA&LH_Auction=1
Samsung Galaxy S20  SM-G980F DS - 128GB - Cloud Blue (Unlocked),50.0,28 Aug 2022,9 bids,https://www.ebay.co.uk/itm/195304422761?epid=22036894144&hash=item2d790cfd69%3Ag%3A3xoAAOSw0bljBMEk&amdata=enc%3AAQAHAAAAoAhqevNgNZx1j6g8Uf8CogXbKD5XPxb7YdyYmC7OYYdeV5lOCZVgrtqEqZ09o3dq3G5Db5F7AGBO8dohlkHXkyQbpi7ePPAADoB8p1%2Bpkx0%2B6wx2vmzA5Vd%2FR4wQv6vUFAM61zpht0pT%2B8R%2F6Byfn%2FTIGF9dnmSPiib%2FclpoVbRt4h25nGNFOpxYqlejAGVT0v0jsCDbajGWcMRqUDZCfYo%3D%7Ctkp%3ABk9SR7LA-aPdYA&LH_Auction=1
